rep_population,regime,type,regimetype,sex,fly,size_mm
RP3,bCFM,2X,cCFM2X,f,8,0.952380952
RP3,bCFM,2X,cCFM2X,f,9,0.952380952
RP3,bCFM,2X,cCFM2X,f,10,0.920634921
RP3,bCFM,2X,cCFM2X,f,11,0.952380952
RP3,bCFM,2X,cCFM2X,f,12,0.920634921
RP3,bCFM,2X,cCFM2X,f,13,0.920634921
RP3,bCFM,2X,cCFM2X,f,14,0.920634921
RP3,bCFM,2X,cCFM2X,f,15,0.952380952
RP3,bCFM,2X,cCFM2X,f,16,0.952380952
RP3,bCFM,2X,cCFM2X,f,17,0.904761905
RP3,bCFM,2X,cCFM2X,f,18,0.920634921
RP3,bCFM,2X,cCFM2X,f,19,0.936507937
RP3,bCFM,2X,cCFM2X,f,20,0.904761905
RP3,bCFM,1X,dCFM1X,f,1,0.920634921
RP3,bCFM,1X,dCFM1X,f,2,0.873015873
RP3,bCFM,1X,dCFM1X,f,3,0.936507937
RP3,bCFM,1X,dCFM1X,f,4,0.936507937
RP3,bCFM,1X,dCFM1X,f,5,0.920634921
RP3,bCFM,1X,dCFM1X,f,6,0.888888889
RP3,bCFM,1X,dCFM1X,f,7,0.936507937
RP3,bCFM,1X,dCFM1X,f,8,0.952380952
RP3,bCFM,1X,dCFM1X,f,9,0.920634921
RP3,bCFM,1X,dCFM1X,f,10,0.952380952
RP3,bCFM,1X,dCFM1X,f,11,0.904761905
RP3,bCFM,1X,dCFM1X,f,12,0.952380952
RP3,bCFM,1X,dCFM1X,f,13,0.920634921
RP3,bCFM,1X,dCFM1X,f,14,0.904761905
RP3,bCFM,1X,dCFM1X,f,15,0.936507937
RP3,bCFM,1X,dCFM1X,f,16,0.888888889
RP3,bCFM,1X,dCFM1X,f,17,0.904761905
RP3,bCFM,1X,dCFM1X,f,18,0.952380952
RP3,bCFM,1X,dCFM1X,f,19,0.936507937
RP3,bCFM,1X,dCFM1X,f,20,0.904761905
RP3,bCFM,1X,gCFMm,m,1,0.777777778
RP3,bCFM,1X,gCFMm,m,2,0.793650794
RP3,bCFM,1X,gCFMm,m,3,0.825396825
RP3,bCFM,1X,gCFMm,m,4,0.793650794
RP3,bCFM,1X,gCFMm,m,5,0.825396825
RP3,bCFM,1X,gCFMm,m,6,0.746031746
RP3,bCFM,1X,gCFMm,m,7,0.825396825
RP3,bCFM,1X,gCFMm,m,8,0.80952381
RP3,bCFM,1X,gCFMm,m,9,0.80952381
RP3,bCFM,1X,gCFMm,m,10,0.793650794
RP3,bCFM,1X,gCFMm,m,11,0.793650794
RP3,bCFM,1X,gCFMm,m,12,0.793650794
RP3,bCFM,1X,gCFMm,m,13,0.793650794
RP3,bCFM,1X,gCFMm,m,14,0.777777778
